id,nivel,categoria,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion_breve
INT-01,Intermedio,Música / Vanguardia,"Cuando Astor Piazzolla armó el Octeto Buenos Aires, incorporó un instrumento poco habitual en las formaciones tangueras de ese tiempo, reforzando una búsqueda sonora más moderna. ¿Cuál era ese instrumento?",Arpa,Guitarra eléctrica,Clarinete,Trompeta,B,"El Octeto Buenos Aires incorporó guitarra eléctrica, una novedad fuerte en el tango de la época."
INT-02,Intermedio,Orquestas / Historia del estilo,"La llamada escuela decareana fue una de las grandes revoluciones estéticas del tango. Entre sus artífices aparecieron Julio y Francisco De Caro, junto con dos bandoneonistas fundamentales. ¿Qué dúo de bandoneones fue central en esa gestación?",Pedro Laurenz y Pedro Maffia,Aníbal Troilo y Roberto Grela,Ciriaco Ortiz y Edmundo Zaldívar,Leopoldo Federico y Astor Piazzolla,A,Pedro Laurenz y Pedro Maffia fueron figuras centrales del nuevo lenguaje instrumental ligado a la escuela decareana.
INT-03,Intermedio,Cantores / Letras / Composición,“Naranjo en flor” es uno de los tangos más admirados por su poesía y sensibilidad. ¿Cuál de estas combinaciones de autores es la correcta?,Música de Homero Expósito y letra de Virgilio Expósito,Música de Virgilio Expósito y letra de Homero Expósito,Música de Aníbal Troilo y letra de Homero Manzi,Música de Lucio Demare y letra de Cátulo Castillo,B,La música es de Virgilio Expósito y la letra de Homero Expósito.
INT-04,Intermedio,Cantores / Letras / Clásicos,“Malena” es uno de esos tangos que casi todo tanguero reconoce por su clima poético y melancólico. ¿Quiénes fueron sus autores?,Música de Mariano Mores y letra de Enrique Santos Discépolo,Música de Lucio Demare y letra de Homero Manzi,Música de Carlos Di Sarli y letra de Enrique Cadícamo,Música de Astor Piazzolla y letra de Horacio Ferrer,B,“Malena” fue compuesta por Lucio Demare con letra de Homero Manzi.
INT-05,Intermedio,Historia / Autores,"“El choclo” es uno de los tangos más famosos de la historia, pero su autoría suele generar confusión porque la música y las letras más difundidas no pertenecen a la misma persona. ¿Cuál de estas combinaciones es la correcta?",Música de Ángel Villoldo; letras de Enrique Santos Discépolo y Juan Carlos Marambio Catán,Música de Enrique Santos Discépolo; letra de Ángel Villoldo,Música de Roberto Firpo; letra de Pascual Contursi,Música de Juan Carlos Marambio Catán; letra de Homero Manzi,A,Ángel Villoldo compuso la música. Las letras más conocidas fueron escritas por Enrique Santos Discépolo y Juan Carlos Marambio Catán.
INT-06,Intermedio,Historia del tango,"Sobre “La Cumparsita”, una de las obras más emblemáticas del Río de la Plata, ¿cuál de estas afirmaciones es correcta?",Fue compuesta por Aníbal Troilo y luego reescrita por Julio De Caro,La compuso Gerardo Matos Rodríguez y Roberto Firpo quedó ligado a su forma más conocida,Fue escrita por Francisco Canaro para el cine sonoro,Su letra original fue de Homero Manzi,B,“La Cumparsita” fue compuesta por Gerardo Matos Rodríguez y Roberto Firpo quedó históricamente ligado a su difusión.
INT-07,Intermedio,Música / Dúos históricos,"Horacio Salgán desarrolló una asociación musical histórica con un guitarrista excepcional, con quien formó un dúo de enorme refinamiento. ¿Quién era ese guitarrista?",Roberto Grela,Ubaldo De Lío,José Canet,Oscar Alemán,B,Ubaldo De Lío fue el guitarrista del célebre dúo con Horacio Salgán.
INT-08,Intermedio,Historia / Patrimonio cultural,El tango fue inscrito por la UNESCO en la Lista Representativa del Patrimonio Cultural Inmaterial de la Humanidad en 2009. ¿Qué países presentaron conjuntamente esa postulación?,Argentina y Chile,Argentina y Uruguay,Uruguay y Brasil,Argentina y Paraguay,B,La postulación del tango ante la UNESCO fue presentada conjuntamente por Argentina y Uruguay.
INT-09,Intermedio,Baile / Código de pista,"En el Tango de Pista no solo importa bailar bien: también importa convivir correctamente con la ronda. Según los reglamentos de competencia, ¿qué situación puede perjudicar el puntaje de una pareja?",Hacer una pausa breve entre frase y frase,Quedarse demasiado tiempo en el lugar y obstaculizar la circulación,Caminar con pasos cortos,Mantener el abrazo durante toda la tanda,B,Obstaculizar la circulación de la ronda perjudica la evaluación en Tango de Pista.
INT-10,Intermedio,Cantores / Letristas,Enrique Santos Discépolo dejó una obra inmensa dentro del tango canción. ¿Cuál de estos títulos no pertenece a Discépolo?,Cambalache,Yira yira,Uno,Sur,D,“Sur” es de Aníbal Troilo y Homero Manzi; los otros títulos están vinculados a Discépolo.
DIF-01,Difícil,Música / Vanguardia,“A Evaristo Carriego” es una obra instrumental muy asociada al tango de vanguardia y a una estética distinta de la de Piazzolla. ¿Quién compuso “A Evaristo Carriego”?,Astor Piazzolla,Eduardo Rovira,Osvaldo Pugliese,Leopoldo Federico,B,“A Evaristo Carriego” es una composición de Eduardo Rovira.
DIF-02,Difícil,Letras / Composición,“La última curda” es uno de los tangos más intensos del repertorio argentino y una obra clave en la asociación entre música y poesía en el género. ¿Quiénes son sus autores?,Música de Aníbal Troilo y letra de Cátulo Castillo,Música de Mariano Mores y letra de Enrique Santos Discépolo,Música de Osvaldo Pugliese y letra de Homero Manzi,Música de Lucio Demare y letra de Homero Expósito,A,La música es de Aníbal Troilo y la letra de Cátulo Castillo.
DIF-03,Difícil,Orquestas / Formaciones históricas,El Quinteto Real fue una formación fundamental para la renovación del tango instrumental. ¿Cuál de estas opciones corresponde a su formación original de 1960?,"Horacio Salgán, Ubaldo De Lío, Enrique Francini, Pedro Laurenz y Rafael Ferro","Horacio Salgán, Ubaldo De Lío, Antonio Agri, Leopoldo Federico y Omar Murtagh","Astor Piazzolla, Horacio Malvicino, Jaime Gosis, Hugo Baralis y Kicho Díaz","Carlos Di Sarli, Roberto Rufino, Jorge Durán, César Ginzo y Oscar Serpa",A,"La formación original del Quinteto Real reunió a Salgán, De Lío, Francini, Laurenz y Rafael Ferro."
DIF-04,Difícil,Orquestas / Integrantes,"Después de la formación inicial del Quinteto Real, hubo un cambio en el contrabajo. ¿Quién reemplazó a Rafael Ferro al año siguiente?",Aniceto Rossi,Enrique Camerano,Quicho Díaz,Kicho Díaz,D,Kicho Díaz ingresó al Quinteto Real como reemplazo de Rafael Ferro en el contrabajo.
DIF-05,Difícil,Historia del tango,"En 1916, en Montevideo, Roberto Firpo retocó y estrenó públicamente una obra que con el tiempo sería conocida como “el tango de los tangos”. ¿De cuál se trata?",El choclo,La cumparsita,A media luz,Don Juan,B,“La Cumparsita” quedó históricamente ligada a Roberto Firpo por su versión y adaptación.
DIF-06,Difícil,Música / Compositores,"“A fuego lento” es una de las piezas instrumentales más admiradas del tango moderno, por su refinamiento armónico y su carácter elegante. ¿Quién la compuso?",Osvaldo Pugliese,Horacio Salgán,Carlos Di Sarli,Eduardo Rovira,B,“A fuego lento” es una composición emblemática de Horacio Salgán.
DIF-07,Difícil,Cantores,¿Qué cantor fue conocido con el apodo de “El ruiseñor de las calles porteñas”?,Ángel Vargas,Roberto Goyeneche,Floreal Ruiz,Alberto Castillo,A,Ángel Vargas fue conocido con ese apodo dentro de la historia del tango.
DIF-08,Difícil,Orquestas / Apodos,"Carlos Di Sarli tuvo un apodo que resume bastante bien el refinamiento, la elegancia y la autoridad musical de su estilo. ¿Cuál era?",El Rey del Compás,El Señor del Tango,El Bandoneón Mayor,El Varón del Tango,B,A Carlos Di Sarli se lo recuerda como “El Señor del Tango”.
DIF-09,Difícil,Obras / Autores,“Alma de bohemio” es un clásico que suele asociarse de inmediato a la Guardia Nueva. ¿Cuál de estas duplas de autores es la correcta?,Música de Roberto Firpo y letra de Juan Andrés Caruso,Música de Agustín Bardi y letra de Pascual Contursi,Música de Julio De Caro y letra de Homero Manzi,Música de Francisco Canaro y letra de Enrique Cadícamo,A,La música es de Roberto Firpo y la letra de Juan Andrés Caruso.
DIF-10,Difícil,Baile / Historia escénica,El espectáculo “Tango Argentino” fue decisivo para el renacimiento internacional del tango danza. ¿Quiénes fueron sus creadores y directores?,Miguel Ángel Zotto y Milena Plebs,Claudio Segovia y Héctor Orezzoli,Juan Carlos Copes y María Nieves,Luis Bravo y Fernando Solanas,B,“Tango Argentino” fue creado y dirigido por Claudio Segovia y Héctor Orezzoli.
